title,link,content_excerpt,gemini_classification,gemini_reason,gemini_confidence
Warak 이루어지지 않는 건 이건 언제 수록되나,https://gall.dcinside.com/mgallery/board/view/?id=platinalab&no=4700&page=1,https://youtu.be/SW92Dl335u4 꺼무가 수록 확정이라고 해서 산 건데...,일반글,해당 없음,0.95
DLC 내기 전에 편의성 패치 좀 해주면 안될란가,https://gall.dcinside.com/mgallery/board/view/?id=platinalab&no=4699&page=1,전에 어떤 갤럼이 홈키 누르면 ui 사라진다는 념글 보고 첨엔 좀 좋았는데 ㄹㅇ 판마다 이짓을 처 해야되니까 좀 짜증남. 브가는 한번 끄면 다 끌 수 있게 해놓고 ui 사라지는거는 왜 그렇게 안해줬는지 모르겠음. 그리고 판정선 패치는 아예 없는거임? 세상 불편하다.. 연습하긴 좋은 패턴들 너무 많아서 좋은데. 캐릭 너무 예쁘고 디자인 깔끔해서 좋긴 좋다만....,일반글,해당 없음,0.95
연구일지작 다했다,https://gall.dcinside.com/mgallery/board/view/?id=platinalab&no=4698&page=1,조와용...,일반글,해당 없음,0.90
이거 왜 안돼냐,https://gall.dcinside.com/mgallery/board/view/?id=platinalab&no=4697&page=1,계속 여기서 멈춰있음 - dc official App...,일반글,해당 없음,0.90
해금 귀찬어 크아악,https://gall.dcinside.com/mgallery/board/view/?id=platinalab&no=4696&page=1,돈줄테니 해금dlc 팔아달라...,일반글,해당 없음,0.95
플엑에서 줄서면서 판매대쪽에 작은 컴으로 하는 사람들은 개발자였음?,https://gall.dcinside.com/mgallery/board/view/?id=platinalab&no=4695&page=1,실력 보니 개발자컷 개 높은거 같던데...,일반글,해당 없음,0.85
엔탐이 진짜 말도안댐,https://gall.dcinside.com/mgallery/board/view/?id=platinalab&no=4694&page=1,24레벨 패론치가 3갠데 엔탐은 풀콤도 겨우했네 ㅅㅂ;...,일반글,해당 없음,0.95
몸비틀며 패치올리기,https://gall.dcinside.com/mgallery/board/view/?id=platinalab&no=4693&page=1,스텔라랑 플래티넘 드라이브 개잘친듯...,일반글,해당 없음,0.95
리겜 좋아해서 구매할까 생각중인데,https://gall.dcinside.com/mgallery/board/view/?id=platinalab&no=4692&page=1,이게 정출이 아니라 얼액이더라 얼액 게임 사는거는 처음인데 얼액때 사는거랑 정출때 사는거랑 뭐가 다름?...,일반글,해당 없음,1.00
패론치 어렵네,https://gall.dcinside.com/mgallery/board/view/?id=platinalab&no=4691&page=1,세부판정 98%는 참 쉽지않구나...,일반글,해당 없음,0.95
이번 플엑에서 한 거 중에 가장 기억에 남는거,https://gall.dcinside.com/mgallery/board/view/?id=platinalab&no=4690&page=1,줄서기...,일반글,해당 없음,0.95
앞으로정면을바라보는캐릭터가크게들어간장패드는고민하고사기,https://gall.dcinside.com/mgallery/board/view/?id=platinalab&no=4689&page=1,아이링이 날 바라봐주는 건 좋지만... 그치만 아이링이 있는 자리가 마우스 두는 위친걸... 그러다 가끔 눈 마주치면 약간 부담스럽기도 하고... 암튼 그럼......,일반글,해당 없음,0.95
솔직히 다음 행사엔 라벨로로에나 LD있어야함,https://gall.dcinside.com/mgallery/board/view/?id=platinalab&no=4688&page=1,그게 맞다고 생각함 내가맞음 그리고 스티커 더 주셈...,일반글,해당 없음,0.95
DB 명찰 다 샀다,https://gall.dcinside.com/mgallery/board/view/?id=platinalab&no=4687&page=1,나머지 DB들도 있었으면 좋았을듯...,일반글,해당 없음,0.95
플랩 부스 후기,https://gall.dcinside.com/mgallery/board/view/?id=platinalab&no=4686&page=1,"플레이는 진작에 포기한다는 마인드로 왔고 (어짜피 로리카미 6월 업뎃곡이니 현장 처음 해보시는 분 양보?) 사진찍는 정도만 했습니다. 레볼님, 마요님께 인사드렸고 키링 선물 드렸어유. 레볼님과는 그 좋아하는 거 비슷해서 사진도 찍었다. 특히 쭐어님 오신거 보고 인사드리고 좀 이야기 나누기도 했는데 언제봐도 귀여운 그림체라 플랩 참여에 가장 반가운 분이기도 ...",일반글,해당 없음,0.95
플엑에서 플레이해보고 맘에 들어서 샀다,https://gall.dcinside.com/mgallery/board/view/?id=platinalab&no=4685&page=1,수록곡 장르범위 넓은거 맘에 들더라...,일반글,해당 없음,0.95
이번에 유입한 뉴비 겜 후기,https://gall.dcinside.com/mgallery/board/view/?id=platinalab&no=4684&page=1,원래 로아하던 사람이라 스토브에서 사면 20퍼 싸게 살수있길래 그냥 스토브에서 삿음 먼가 수록곡은 식스타 느낌인데 플레이 자체는 디맥처럼 그냥 단순건반이라 좋았음 셋중에 판정도 제일 후하고 그리고 오프라인 리겜에서만 봤던건데 판정같은거 내가 어디 구간에서 틀렸는지 보여주는 라인이 너무 신박했음 고수햄들은 그거보고 스코어링작 하면 좋을듯 겜 잘만든거 같은데 ...,일반글,해당 없음,0.95
어느날 도입된 플랩 인장 시스템,https://gall.dcinside.com/mgallery/board/view/?id=platinalab&no=4683&page=1,어 씨!발 눈에 보이는건 5만 엑 사 단 순회도는게 귀찮아서 그렇지 5만까지 찍기는 쉬운듯 그리고 오늘의 성까 퍼펙 하나에 패론치 둘 그럼 20000......,비방글,1. 직접적인 욕설 포함,0.95
플랩에 있는 콘텐츠는 다 즐겨서 본인만에 콘텐츠를 해봤다.,https://gall.dcinside.com/mgallery/board/view/?id=platinalab&no=4682&page=1,https://youtu.be/JAwfFdio2U4 내가 한 콘텐츠는 노가다 콘텐츠임 아무 의미는 없지만 만약에 노가다성 콘텐츠가 나오면 위 영상처럼 할 듯. ㅇㅇ...,일반글,해당 없음,0.95
플랩 관계자들 4일동안 고생 많았음,https://gall.dcinside.com/mgallery/board/view/?id=platinalab&no=4681&page=1,짐 옮겨서 부스 설치하고 사람들 팔로우 이벤트 계속 응대하는 것도 어지간히 쉽지 않을 텐데 어캐 잘 버텼다…. 지금쯤 자고 있겠지만 더 편안하고 깊게 잠들었다가 오늘 아침에 개운하게 일어나길 바랄 뿐이구나...,일반글,해당 없음,0.95
플랩의 DB 중에서는 로로가 1등이며,https://gall.dcinside.com/mgallery/board/view/?id=platinalab&no=4680&page=1,아이링이 2등 나머지 잡것들은 그 후순위에 불과하다...,비방글,1. 특정 대상을 낮잡아보는 표현 (잡것들) 사용,0.75
대충 플엑 성까,https://gall.dcinside.com/mgallery/board/view/?id=platinalab&no=4679&page=1,대충 여러 요인들로인해 어렵다고함...,일반글,해당 없음,0.90
플엑가서 겜 샀어,https://gall.dcinside.com/mgallery/board/view/?id=platinalab&no=4677&page=1,6s하려다가 잘못고름...,일반글,해당 없음,0.95
이새끼 어디갔어,https://gall.dcinside.com/mgallery/board/view/?id=platinalab&no=4676&page=1,칼퇴잔아...,일반글,해당 없음,0.80
아 딴 건 모르겠고 좌우기어라도 빨리 내다오,https://gall.dcinside.com/mgallery/board/view/?id=platinalab&no=4675&page=1,센터 기어 존나 불편함...,일반글,해당 없음,0.85
소신발언,https://gall.dcinside.com/mgallery/board/view/?id=platinalab&no=4674&page=1,케이크가 밤비보다 예쁨...,일반글,해당 없음,0.95
팩트는 플랩에서 판매하는건 스티커랑 파일 뿐이란거임,https://gall.dcinside.com/mgallery/board/view/?id=platinalab&no=4673&page=1,n시간과 교환해줌ㅇㅇㅇ 랜덤박스란건 처음부터 존재하지 않았음...,일반글,해당 없음,0.95
퍼펙 할만했는데,https://gall.dcinside.com/mgallery/board/view/?id=platinalab&no=4672&page=1,중간에 절었어 우우....사실 판정도 하나도 안잡아서 힘들었을듯 개추와 패치...,일반글,해당 없음,0.95
명찰 케이크만 안팔렸네,https://gall.dcinside.com/mgallery/board/view/?id=platinalab&no=4671&page=1,악성재고잖아...,일반글,해당 없음,0.85
나도 플랩 줄 보고 튀었는데,https://gall.dcinside.com/mgallery/board/view/?id=platinalab&no=4670&page=1,이세계 공방이란 곳에서 전용 컨트롤러로 플랩이 가능하다고 ㅋㅋㅋ 물론 해금 안되있긴 하네...,일반글,해당 없음,0.95
레볼님 싸인받음,https://gall.dcinside.com/mgallery/board/view/?id=platinalab&no=4669&page=1,근데 나 미들맨티 입고있었어 옷 이쁘대...,일반글,해당 없음,1.00
왜 줄이 점점 길어지냐고,https://gall.dcinside.com/mgallery/board/view/?id=platinalab&no=4668&page=1,설 자신이 없는데...,일반글,해당 없음,0.95
플랩 흥갓겜이네,https://gall.dcinside.com/mgallery/board/view/?id=platinalab&no=4667&page=1,일반 소형 부스중에서 줄 제일 긴듯...,일반글,해당 없음,0.95
플랩부스에서 하는 것보다 이세계공방이 더 빠르다고,https://gall.dcinside.com/mgallery/board/view/?id=platinalab&no=4666&page=1,ㅋㅋㅋㅋㅋㅋ...,일반글,해당 없음,0.80
엔터 샷건치다 뒤짐,https://gall.dcinside.com/mgallery/board/view/?id=platinalab&no=4665&page=1,- dc official App...,비방글,1. '뒤짐'이라는 표현은 특정 대상을 향한 직접적인 모욕 또는 불쾌감을 줄 수 있는 표현으로 판단될 수 있습니다.,0.75
랜덤박스 가성비 꽤 좋은거같음,https://gall.dcinside.com/mgallery/board/view/?id=platinalab&no=4664&page=1,20000원에 아크릴스탠드 아크릴키링 투명케이크카드 캐릭터키캡 4개 줌 ㅆㅅㅌㅊ 목요일 아침 10시 들어가자마자 플랩 부스 갔을땐 여유있게 구매할 수 있었는데 갤보니까 의외로 금방 품절되는 것 같네...,일반글,해당 없음,0.95
플엑 플랩 사람 엄청많음,https://gall.dcinside.com/mgallery/board/view/?id=platinalab&no=4663&page=1,어제 갔다오긴 했는데 30분 기다려도 대기가 안줄어.....,일반글,해당 없음,0.95
랜덤박스 또 못사겠네 ㅋㅋㅋ,https://gall.dcinside.com/mgallery/board/view/?id=platinalab&no=4662&page=1,대기열 졸라 기네 사람 일케 많을 줄 모름...,일반글,해당 없음,0.95
계속 이러네,https://gall.dcinside.com/mgallery/board/view/?id=platinalab&no=4661&page=1,설정 초기화 해보고 뭐 해보고 키보드 바꿔보고 다 해봐도 계속 싱크가 밀리네 좆같다 진짜...,비방글,1. 직접적인 욕설 포함,0.85
DLC 선행체험은 취소된거임?,https://gall.dcinside.com/mgallery/board/view/?id=platinalab&no=4660&page=1,dlc얘기는 하나도 안나오네 - dc official App...,일반글,해당 없음,0.95
플엑 플랩 후기,https://gall.dcinside.com/mgallery/board/view/?id=platinalab&no=4659&page=2,1. 노트북 분당1300자로 치면서 깃랩보는사람 있길래 저게 그 대학생인가 태희씨인가 싶었는데 태희씨였음... 2. 엔터키자리 배정후 못참고 마구 왓쇼이함 신곡이고 뭐고 이게제일재밌다ㅇㅇㅇㅇㅇ 물론 엔터 한번칠때마다 손이 갈길을 잃음 어케치냐 3. 아오 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ쌤;;...,일반글,해당 없음,0.95
Stuck in wall,https://gall.dcinside.com/mgallery/board/view/?id=platinalab&no=4658&page=2,으흐흐 친구도 생김...,일반글,해당 없음,0.95
못참고... 엔터쿠션에서 왓쇼이함,https://gall.dcinside.com/mgallery/board/view/?id=platinalab&no=4657&page=2,엔터칠때마다 손꼬였지만 재미 하나는 GOAT ㅋㅋㅋ...,일반글,해당 없음,0.95
체험해봄,https://gall.dcinside.com/mgallery/board/view/?id=platinalab&no=4656&page=2,오옹 느낀점: 겜 어렵더라 엔터 그거 몰라서 다 틀림 ㅋㅋ 그리고 케이크? 걔 좀 부담스러울 정도더라 호불호 있을거같기도...,일반글,해당 없음,0.95
뭐임 이거,https://gall.dcinside.com/mgallery/board/view/?id=platinalab&no=4655&page=2,십ㅋㅋㅋㅋ...,일반글,해당 없음,0.85
님덜 어제 플엑 겜 해보고 재밌어서 사서 하고있는디,https://gall.dcinside.com/mgallery/board/view/?id=platinalab&no=4654&page=2,슬로우 걍 디지게 나는데 이거 그냥 오디오 딜레이 보정 졸라 땡겨도 되는건가...,일반글,해당 없음,0.95
밤비 케이크랑 사진 찍었어,https://gall.dcinside.com/mgallery/board/view/?id=platinalab&no=4653&page=2,나머지 DB들 이랑도 찍고 싶다...,일반글,해당 없음,0.95
배고픈 사람이 우물을 판대,https://gall.dcinside.com/mgallery/board/view/?id=platinalab&no=4652&page=2,평소에 듣고 싶으면 내가 녹음해야지 뭐......,일반글,해당 없음,0.95
아니 알트탭 버그 고친거맞음???,https://gall.dcinside.com/mgallery/board/view/?id=platinalab&no=4651&page=2,오랜만에 겜켜서 했는데 아직도 알트탭 버그 그대로인데??? ESC도 안먹히는데 뭐냐 공지보면 고쳤다는데 왜 버그 그대로임...,일반글,해당 없음,0.95
디(코더)부이 부스갔다왔어,https://gall.dcinside.com/mgallery/board/view/?id=platinalab&no=4650&page=2,엉엉 레볼오빠...,일반글,해당 없음,0.90
아니 시작퍼즈도 점수 안넣어주네,https://gall.dcinside.com/mgallery/board/view/?id=platinalab&no=4649&page=2,시발 옵션 건드느라 시작전 퍼즈 한건데...,비방글,1. 직접적인 욕설 포함,0.90
플엑 줄 마감 뭔데,https://gall.dcinside.com/mgallery/board/view/?id=platinalab&no=4648&page=2,흥하니 보기좋구나...,일반글,해당 없음,0.95
플엑에서 플랩만 두번 했는데 한시간 지났어,https://gall.dcinside.com/mgallery/board/view/?id=platinalab&no=4647&page=2,로리신 초견퍼펙 못한건 좀 아쉽네...,일반글,해당 없음,0.95
일상탈출 노래 ㅈㄴ 좋네,https://gall.dcinside.com/mgallery/board/view/?id=platinalab&no=4645&page=2,- dc official App...,일반글,해당 없음,0.95
신곡 어렵다,https://gall.dcinside.com/mgallery/board/view/?id=platinalab&no=4644&page=2,- dc official App...,일반글,해당 없음,0.90
이겜 최적화 해결됨?,https://gall.dcinside.com/mgallery/board/view/?id=platinalab&no=4643&page=2,좋아지는중?...,일반글,해당 없음,0.95
黒魔 - lost found melody,https://gall.dcinside.com/mgallery/board/view/?id=platinalab&no=4642&page=2,https://www.youtube.com/watch?v=NHllfj8AlqQ - dc official App...,일반글,해당 없음,0.90
스포)오 뭐노,https://gall.dcinside.com/mgallery/board/view/?id=platinalab&no=4640&page=2,240123 스포일러 경고 영역 스포일러 경고 기능이 추가됐습니다. ( 설정 에서 변경 가능) //240123 스포일러 경고 영역 샌즈치고끌라다가 이상한거 발견해서 누름 신기하다 겜안분이란말은ㄴㄴㄴ...,일반글,해당 없음,0.95
근데 이겜 첫곡 첫노트 렉먹는거 나만그런거아니지?,https://gall.dcinside.com/mgallery/board/view/?id=platinalab&no=4639&page=2,매번 노트하나 치고 리트해야댐...,일반글,해당 없음,0.95
디오라마랑 밤비 키링,https://gall.dcinside.com/mgallery/board/view/?id=platinalab&no=4638&page=2,너무 귀엽다 진짜 다른 애들 키링도 있긴 한데 혼자 다 달고 다니기엔 많아서 지인들 줄거같음...,일반글,해당 없음,1.00
머야 뭐 팔기도 했음?,https://gall.dcinside.com/mgallery/board/view/?id=platinalab&no=4637&page=2,어제갓을땐 딱히 뭐 파는거 못봣는데 티셔츠나 캡 같은거 팔면 장내에서 입고라도 다닐거같은데...,일반글,해당 없음,0.95
플랩부스 다녀가신 케이크 코스어분,https://gall.dcinside.com/mgallery/board/view/?id=platinalab&no=4636&page=2,https://x.com/hanururu_/status/1925898546068230274?t=xNch77c1-mmpJNebQ9RV_w&s=19 개쩜...,일반글,해당 없음,0.90
플엑 후기,https://gall.dcinside.com/mgallery/board/view/?id=platinalab&no=4635&page=2,마요님 예쁘시고 밤비는 귀엽다 - dc official App...,일반글,해당 없음,0.95
플랩부스 아직도 텐키리스 키보드 씀?,https://gall.dcinside.com/mgallery/board/view/?id=platinalab&no=4634&page=2,키보드 가져가는데 대여해주기 가능? 일요일 끝날때 수거해갈 예정...,일반글,해당 없음,0.95
아 아까 체험할 때 4키 할 걸,https://gall.dcinside.com/mgallery/board/view/?id=platinalab&no=4633&page=2,2판인 줄 알고 6+로 손풀고 4오버 할라 캤는대...,일반글,해당 없음,0.95
어제 겜 샀는데 머좀 물어봐도 댐?,https://gall.dcinside.com/mgallery/board/view/?id=platinalab&no=4632&page=2,플레이엑스포에서 코드 사서 입문했는데 난이도는 딴겜이랑 비교하면 대충 어느정도라고 보면 될까? 실력 구림...,일반글,해당 없음,1.00
야호,https://gall.dcinside.com/mgallery/board/view/?id=platinalab&no=4630&page=2,옆집 때부터 좋아했던 두 분이랑 찍고 체험 대기중 으히힣...,일반글,해당 없음,0.95
플랩 랜덤박스 금방털리나보네,https://gall.dcinside.com/mgallery/board/view/?id=platinalab&no=4629&page=2,어제 2호로 샀었는데...,일반글,해당 없음,0.95
금요일 랜덤박스 1호,https://gall.dcinside.com/mgallery/board/view/?id=platinalab&no=4627&page=2,1등으로 바로 가서 하나 사왔음...,일반글,해당 없음,1.00
신곡 6+체험,https://gall.dcinside.com/mgallery/board/view/?id=platinalab&no=4626&page=2,27치고 쉬운듯...,일반글,해당 없음,0.95
와 10시 15분인데 랜덤박스 매진은,https://gall.dcinside.com/mgallery/board/view/?id=platinalab&no=4625&page=2,아...,일반글,해당 없음,0.95
아 어제 플엑포에서 도라 아레나 하고난 다음 우리게임하니,https://gall.dcinside.com/mgallery/board/view/?id=platinalab&no=4624&page=2,선녀같이보이더라...,일반글,해당 없음,0.95
플라티나 랩 정식릴리즈?,https://gall.dcinside.com/mgallery/board/view/?id=platinalab&no=4623&page=2,친구들이랑 하려고 질렀는데 온라인모드가 잠겨있길래 인터넷 뒤져보니 정식릴리즈 때 온라인모드 추가한다는 인터뷰내용을 봤습니다.. 내년 초에 출시예정이라는데 출시전에 얼리액세스 구매한 사람들은 무료로 이용할수 있는건가요? 아니면 또 새로 사야하나요?? 전 우선 재밌게하고있어서 혼자서 하려고 하는데 만약 정식으로 출시할때 추가구매 해야한다면 친구들한테는 환불 하...,일반글,해당 없음,0.95
겜 이륙할만해??,https://gall.dcinside.com/mgallery/board/view/?id=platinalab&no=4622&page=2,아니면 식스타게이트 << 이겜 꼬라지 날거같음?...,일반글,해당 없음,0.90
처음으로 27렙 패론치쳤어,https://gall.dcinside.com/mgallery/board/view/?id=platinalab&no=4621&page=2,칭찬좀...,일반글,해당 없음,0.95
부스 키보드 전부다 텐키있음?,https://gall.dcinside.com/mgallery/board/view/?id=platinalab&no=4620&page=2,키패드없으면 고자라서못함...,비방글,1. 특정 기능을 사용하지 못하는 사람을 '고자'라고 표현하여 모욕감을 유발할 수 있음.,0.85
너넨 가서 플립어쩌구 말고 로리신 해라 꼭,https://gall.dcinside.com/mgallery/board/view/?id=platinalab&no=4619&page=2,맨왼쪽자리에 ㅈㄴ큰 엔터쿠션 있어서 아ㅋㅋㅋ 존나재밋겟다 하고 기대했는데 플립 더 시퀀스인가 그거 19렙인가 6키에 엔터 한번도 안나오더라 이런 시발...,일반글,해당 없음,0.95
노라티나랩,https://gall.dcinside.com/mgallery/board/view/?id=platinalab&no=4618&page=2,샌즈해금이후로 들크기다리고있는...,일반글,해당 없음,0.90
토일 가는데 플랩 키보드 별로면 키보드 빌려주고싶은데,https://gall.dcinside.com/mgallery/board/view/?id=platinalab&no=4617&page=2,"가능? 여기 직원도 눈팅하나 일단 가져갈 수 있는 키보드는 cm51+ (리겜 잘되게 세팅해둠) , 다얼유 ek104 rt 자석축 (이번에 새로나온 자석축), 한성 마그네톡스 (raw he 50g), k70 max 이렇게 있는데 토일 빌려준다고 하면 받아주나...",일반글,해당 없음,1.00
신곡해옴,https://gall.dcinside.com/mgallery/board/view/?id=platinalab&no=4616&page=2,채보 맛있다...,일반글,해당 없음,0.95
여기 부스는 키보드야?,https://gall.dcinside.com/mgallery/board/view/?id=platinalab&no=4615&page=2,칼파마냥 사볼콘비슷한무언가인줄 하지만 난 원래 미니배열이라 문제없어!...,일반글,해당 없음,0.95
아무 문제없이 잘하고있는데,https://gall.dcinside.com/mgallery/board/view/?id=platinalab&no=4614&page=2,어딜가나 안경여드름돼지 파오후같은 진성 10덕들이 문제네 하여간 불만이 ㅈㄴ 많아요 치즈규동같은넘들 ㅋㅋㅋ...,비방글,"1. 특정 외모를 비하하는 표현 사용 (안경여드름돼지, 파오후), 4. 특정 집단(진성 10덕)에 대한 혐오적 표현 사용, 1. 욕설 및 경멸적인 표현 사용 (ㅈㄴ 많아요 치즈규동같은넘들)",0.95
플랩부스 키보드,https://gall.dcinside.com/mgallery/board/view/?id=platinalab&no=4613&page=2,"왼쪽부터 순서대로 개추, 미쿠, 명일방주...",일반글,해당 없음,0.95
플랩 부스 키보드 다 다르네,https://gall.dcinside.com/mgallery/board/view/?id=platinalab&no=4611&page=2,시간남아도는 사람이면 각각 돌아가면서 해봐도될듯...,일반글,해당 없음,0.95
곡에서소브렘냄새나는데,https://gall.dcinside.com/mgallery/board/view/?id=platinalab&no=4610&page=2,아님말고긴한데 소부렘 아니면 삭제느낌...,일반글,해당 없음,0.80
틸업 삭제인가?,https://gall.dcinside.com/mgallery/board/view/?id=platinalab&no=4609&page=2,다른 사람 생각이 안 나는데...,일반글,해당 없음,0.95
부스에 엔터노트 뭐냐 ㅋㅋㅋㅋ,https://gall.dcinside.com/mgallery/board/view/?id=platinalab&no=4608&page=2,1번기체 엔터노트 있다 텐키리스라 텐키는 못씀...,일반글,해당 없음,0.95
로리신 4키 24렙 25렙 신곡 26 26렙,https://gall.dcinside.com/mgallery/board/view/?id=platinalab&no=4607&page=2,채보잼슴 6키는 몰루...,일반글,해당 없음,0.95
랜덤박스 남았니,https://gall.dcinside.com/mgallery/board/view/?id=platinalab&no=4606&page=2,사고가 있어서 너무 늦게 도착했슴.......,일반글,해당 없음,0.95
개추,https://gall.dcinside.com/mgallery/board/view/?id=platinalab&no=4605&page=2,개추 유도가 심하네...,일반글,해당 없음,0.85
곡은 진짜 잘가져오네,https://gall.dcinside.com/mgallery/board/view/?id=platinalab&no=4604&page=3,진짜 개버그랑 발적화만 해결하면 ㄹㅇ 갓겜...,일반글,해당 없음,0.95
그래서 저 틸텁시퀀스는 누구 곡임,https://gall.dcinside.com/mgallery/board/view/?id=platinalab&no=4603&page=3,킨텍스에 사람 안 많으면 내일 들러볼까...,일반글,해당 없음,0.95
PC 십덕 리듬게임도 하나 있어야지 ㅇㅇ,https://gall.dcinside.com/mgallery/board/view/?id=platinalab&no=4602&page=3,게시글 내용 로드 실패: 500 Server Error: Internal Server Error for url: https://gall.dcinside.com/mgallery/board/view/?id=platinalab&no=4602&page=3...,분석 불가 (내용 없음),본문 내용을 가져올 수 없습니다.,0.00
4키 플러스 너무 어려워,https://gall.dcinside.com/mgallery/board/view/?id=platinalab&no=4601&page=3,제타까지 이악물고 오버로 밀고옴 - dc official App...,일반글,해당 없음,0.95
방향성 확고해서 좋네,https://gall.dcinside.com/mgallery/board/view/?id=platinalab&no=4600&page=3,ㄹㅇ - dc official App...,일반글,해당 없음,0.90
이건 뭐냐 ㅋㅋ,https://gall.dcinside.com/mgallery/board/view/?id=platinalab&no=4599&page=3,내용 없음,분석 불가 (내용 없음),본문 내용을 가져올 수 없습니다.,0.00
플엑도 대기열 길음?,https://gall.dcinside.com/mgallery/board/view/?id=platinalab&no=4598&page=3,언제쯤 가야 안늦고 들어가지 랜덤박스 사보고싶은데...,일반글,해당 없음,0.95
곡 들고 오는거 보면 도대체 어떤 최면어플을 가지고있는거임???,https://gall.dcinside.com/mgallery/board/view/?id=platinalab&no=4597&page=3,효과 확실하네...,일반글,해당 없음,0.85
업뎃 6월 4일이네,https://gall.dcinside.com/mgallery/board/view/?id=platinalab&no=4596&page=3,첨 깐 거 아님?...,일반글,해당 없음,0.80
플랩 선행신곡 & 6월 신곡 추가예정,https://gall.dcinside.com/mgallery/board/view/?id=platinalab&no=4595&page=3,그... 왜 거기서 나오십니까?...,일반글,해당 없음,0.90
플엑 공식 굿즈 판매 라인업 뜸,https://gall.dcinside.com/mgallery/board/view/?id=platinalab&no=4594&page=3,펀딩 티셔츠 그 재질 다른걸로 있네 면티도 새로 나오고 코드 싸게 팔고...,일반글,해당 없음,0.95
플엑에서 뭐 팔거같은데?,https://gall.dcinside.com/mgallery/board/view/?id=platinalab&no=4593&page=3,아마도? 무슨짐인진 모르니 일단 추측임...,일반글,해당 없음,0.95
플엑에서 머 파는건 없나,https://gall.dcinside.com/mgallery/board/view/?id=platinalab&no=4592&page=3,걍 겜만 하고 오면 대나?...,일반글,해당 없음,0.95
내일부터 플엑,https://gall.dcinside.com/mgallery/board/view/?id=platinalab&no=4591&page=3,가는사람들 dlc나 신곡여부 확인좀...,일반글,해당 없음,0.95
플랩 패터너들 색상코드,https://gall.dcinside.com/mgallery/board/view/?id=platinalab&no=4590&page=3,"13DD84 C0C0AA 코코아 66A3E8 BA3B11 961000 BAAACA 바카? 21C0BA 1A1A1A 블랙 (케르베로스 제작자 명의, 쿠로?) FF69B4 핫핑크 FB80AC 74706E 800080 퍼플 그냥 할 일 없어서 뒤적거려봤음 하나만 찍은 사람도 있고 몇개만 찍은 사람도 있던데 아마 객원 패터너일듯 앞으로 패턴이 거지같으면 '진홍색!...",일반글,해당 없음,0.95
탐 50 랭킹,https://gall.dcinside.com/mgallery/board/view/?id=platinalab&no=4589&page=3,노래에 탑 50 찍혀있는 거 내 점수 내 순위 이런 거 못봄?...,일반글,해당 없음,0.95
