title,link,content_excerpt,gemini_classification,gemini_reason,gemini_confidence
이준석없었으면 이재명 50 뚫었어 ㅂㅅ들아,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18438492&page=1,24년 총선 지금 대선 이대남은 원래 민주당도 많이 찍었는데 재매이 표를 문수 표보다 훨씬 더 뺏어옴 준스기가 단일화선언? 재매이한테 갔을 표도 많았을거임 그럼 과반수도 당연히 뚫리고 국힘은 할말도 더 없어졌다 ㅂㅅ들아......,욕설 사용,직접적인 욕설 포함됨,0.99
이재명 응원합니노,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18438491&page=1,이분까지 말아드시면 나라진짜 쳐망해서 강제로 응원하게 되노......,일반글,직접적인 욕설 없음,1.00
틀딱세끼들 언제까지 이대남타령함?,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18438490&page=1,븅신년들이 즈그들마냥 국힘이면 다뽑아주는줄아네 단일화도못해 계엄처해서 탄핵이나처당하는데 그래도 이대남탓이냐 틀딱년들아ㅋㅋㅋㅋ - dc official App......,욕설 사용,"직접적인 욕설 포함됨 ('세끼', '븅신년', '틀딱년' 등)",0.99
이대남 조롱을 언제함,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18438489&page=1,2030 버렸다고 피해의식 가지고 8% 똥처박은 거면서 뭔......,욕설 사용,직접적인 욕설 포함됨,0.95
한녀들은 ㅂㅈ찢기고 요도쑤시는거 좋아하나보네,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18438488&page=1,내용 없음...,욕설 사용,제목에 직접적인 욕설 포함됨 ('ㅂㅈ' 등),0.99
이재명 < 트럼프가 억제해주기를 바래야함,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18438487&page=1,하고싶은거 다하면 ㄹㅇ 나라절단남......,일반글,직접적인 욕설 없음,1.00
아이유 팬층 이 정도로 존나 다양함?,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18438486&page=1,- dc official App......,욕설 사용,직접적인 욕설 포함됨,0.99
챙겨주지마 병신아~ 니들이 찡찡대길래 한소린데,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18438485&page=1,지들이 먼저 왜 안뽑아주냐고 찡찡찡찡 거리길래 한소린데 그럼 계엄하고 김문수가 대표인당을 능력으로 뽑으라는거였냐?......,욕설 사용,직접적인 욕설 포함됨,0.99
미리보는 이재명정부 인사ㄹㅇ...jpg,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18438484&page=1,한남충들 뒤져ㅋㅋㅋ......,욕설 사용,직접적인 욕설 포함됨,0.99
서울의 보수화 = 재앙신덕분 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18438483&page=1,돈없는사람들은 싹 경기도로 쫓아냄 ㅋㅋㅋ......,일반글,직접적인 욕설 없음,1.00
이준석은 진짜 ㅈ됐네,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18438482&page=1,이재명 역린 제대로 건드렸는데 살아남을 수 있음???......,욕설 사용,직접적인 욕설 포함됨,0.95
엄마가 이준석은 너무 애같다고 안뽑음,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18438481&page=1,솔직히 모르겠네 뭐 대통령은 노인들이 해야한다는 편견같은거있나......,일반글,직접적인 욕설 없음,1.00
이대남 << 현시각 최대 피해자면 개추 ㅋㅋㅋㅋ,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18438480&page=1,와 4050 씹 틀니들 진짜 여성호르몬 ㅈ되네 죄다 파란색이노......,욕설 사용,"직접적인 욕설 포함됨 ('씹', 'ㅈ' 사용)",0.95
난 2찍이 진짜 사표같은데?,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18438479&page=1,국힘 병신 새끼들 40퍼는 나온거보고 정신 못차릴듯 ㅋㅋㅋㅋㅋㅋㅋ......,욕설 사용,직접적인 욕설 포함됨,0.95
경상도보수가 결집한게 아니고 서울보수가 결집한거네 ㅋㅋ,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18438478&page=1,대구경북=5퍼가량 이탈 부울경=10퍼가량 이탈 경상도는 오히려 보수이탈됨 수도권 경기인천 -13퍼차 완패인데 서울 4퍼차 <<<<<서울보수층이 결집한거......,일반글,직접적인 욕설 없음,1.00
지금 좆된건 이준석이 아니라 국민의힘이라니깐...,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18438476&page=1,"이를테면 이준석은 일종의 ""옥새""같은거임 2030을 들고있는 옥새. 이준석이 당대표 시절: 대선,지선,보궐,총선 다 이김 윤석열 대통령 만들때도 지금 데이터보면 결국 이준석이 만든거임 그리고 이준석 쫓아낸 후 김기현, 한동훈이 보궐,총선 다 쳐발리고 민주당에 190석 내준것도, 오늘 대선에서 쳐발린것도, 결국 딱 이준석 파이만큼 모자라서 지는거임 이준석이 ...",욕설 사용,직접적인 욕설 포함됨,0.99
와 이대녀 1찍 58% 뭐냐?,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18438475&page=1,진짜 찢어버리고 싶네 와......,일반글,직접적인 욕설 없음,0.95
국힘은 대체 무슨 정치를 하고싶은거임?,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18438474&page=1,돈 나올곳은 세금밖에 없는 나라에서 부자감세로 인해 기업들 사내유보금만 증가 일자리창출하라니까 외국만가면 외국에 공장짓는다고 약속함 국내 일자리 창출 없음 공공인프라는 적자를 감수해야하는데 부자감세로 적자감수할 돈 없으니까 그냥 가스요금 전기요금 올려버림 아파트 관리비 폭등으로 민심 작살남 부동산 하락세였는데 등촌주공살린다고 대출 풀어서 집값 도미노 상승 ...,일반글,직접적인 욕설 없음,1.00
용산 쓰겠냐?ㅋㅋㅋㅋㅋ 백퍼 청와대로감,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18438473&page=1,방빼~~~~~~......,일반글,직접적인 욕설 없음,1.00
솔직히 나는 이재명 응원하고 싶음,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18438472&page=1,얘까지 연달아 못하면 대한민국 걍 좆망임 일단 뽑혔으니 잘하기를 응원함......,욕설 사용,직접적인 욕설 포함됨,0.99
이재명이나 김문수나 똑같은 놈들인데,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18438471&page=1,이재명 뽑으면 나라망한다느니 존나 호들갑떨더라 2찍새끼들ㅋㅋ 김문수 뽑혀봤자 제2의 윤석열됐을듯 ㄹㅇ......,욕설 사용,직접적인 욕설 포함됨,0.95
이대남 극우화 된게 ㅋㅋㅋㅋㅋㅋ,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18438470&page=1,여혐 반중 온라인 게임세대 이게 큼 - dc official App......,일반글,직접적인 욕설 없음,1.00
김건희 가니까 김혜경 왔노ㅋㅋㅋㅋ,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18438469&page=1,어서오고ㅋㅋ - dc official App......,일반글,직접적인 욕설 없음,1.00
이준석 정치생명끝 vs 2찍남 리얼생명끝,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18438468&page=1,뭐가 더빠름?......,일반글,직접적인 욕설 없음,1.00
그럼 이제 이재명 미국 갈수있나요? ㅎㅎ,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18438467&page=1,대북송금 혐의로 미국가면 체?포 된다던데 이제 대통령이니까 맘대로 갈 수 있죠 우헤헤... - dc official App......,일반글,직접적인 욕설 없음,1.00
와 ㅅㅂ 정국11일에 전역이네,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18438466&page=1,나 뭐했지 ㅅㅂ......,욕설 사용,직접적인 욕설 포함됨,0.99
이재명 <<< 진짜 잘할거라는 생각하는사람 있음?,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18438465&page=1,그냥 순수 능력치도 문수햄한테 딸리던데 유튜브에 떠도는 계곡상인들이랑 싸우는영상 원툴임 그냥......,일반글,직접적인 욕설 없음,1.00
재명이햄은 시원하게 야동같은건 불법풀어줄듯,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18438464&page=1,시원시원헐듯......,일반글,직접적인 욕설 없음,1.00
그래도 80년생들이 민주당 찍는덴 이유가 있다,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18438463&page=1,민주당에서 지금 니네들이 받는 특혜 많이 해줌 특히 군대에서 니네 문재인 아니었음 어휴 그런거 보고 뽑는거다 내가 직접 특혜 못받아도 나아진 세상보려고......,일반글,직접적인 욕설 없음,1.00
한줌단이라면서 왜 한줌탓하는거임,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18438462&page=1,웃기네 ㅋㅋ......,일반글,직접적인 욕설 없음,1.00
1년에 10만명씩 뒤져나가는 틀구이들이 잘못이지,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18438461&page=1,이대남이 좆빠지게 우파 투표하면 뭐하노 느그들이 10만개씩 표 들고 날라버리는데......,욕설 사용,직접적인 욕설 '좆' 사용됨,0.95
여성+전라도+조선족 독점의 민주당 ㄷㄷ,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18438460&page=2,그냥 대한민국 멸망할때까지 집권할듯 ㅋㅋ 일본 자민당 처럼 갈려나......,일반글,직접적인 욕설 없음,1.00
솔직히 민주당 이재명 말고 단 사람 나왔으면 과반 먹었다,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18438459&page=2,이건 확실함......,일반글,직접적인 욕설 없음,1.00
이준석 표는 김문수한테 다 가지 않지만,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18438458&page=2,권영국 표는 다 이재명한테 감......,분석 최종 실패,최대 재시도 도달,0.00
존나 개웃기네 딸피새끼들은 레파토리가 항상 똑같노,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18438457&page=2,매번 이대남 조롱하고 욕하다 필요하면 갖다 쓰고 버리기 일쑤였으면서 이번에도 마찬가지 심지어 그 이대남 표도 꽤 받아처먹음 그런데도 불구하고 또 이대남탓함 ㅋㅋㅋㅋ 니들이 보빨만 안했어도 이대남 표 더 먹었겠다 우파페미 ㅇㅈㄹ왜했노?? ㅋㅋㅋ 스윗한 여성정책 내놓고 이대남 표 내놔라 ㅇㅈㄹ 왜함? 당장 느그 스울스윗시장님 2030한남 표 받아먹고 뭐 했는지...,욕설 사용,직접적인 욕설 포함됨,0.99
지금 좆된건 이준석이 아니라 국민의힘이라니깐...,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18438456&page=2,"이를테면 이준석은 일종의 ""옥새""같은거임 2030을 들고있는 옥새. 이준석이 당대표 시절: 대선,지선,보궐,총선 다 이김 윤석열 대통령 만들때도 지금 데이터보면 결국 이준석이 만든거임 그리고 이준석 쫓아낸 후 김기현, 한동훈이 보궐,총선 다 쳐발리고 민주당에 190석 내준것도, 오늘 대선에서 쳐발린것도, 결국 딱 이준석 파이만큼 모자라서 지는거임 이준석이 ...",욕설 사용,직접적인 욕설 포함됨,0.99
틀구이들 부들대는 거 왜 이렇게 웃김 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18438455&page=2,두창이 햄이 부정선거라도 준비해 놨을 줄 알았노......,일반글,직접적인 욕설 없음,1.00
8퍼차라 이준석 단일화 딸딸이도 못치네,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18438454&page=2,그냥 내년 지방선거 앞두고 상대후보 네거티브에 써먹으려고 국힘 복당 회유나 하겠지......,일반글,직접적인 욕설 없음,0.95
상납견들) 이준석이 왜 좆됨?,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18438453&page=2,민주당에서 성상납의혹 다시 꺼내오는데 왜 좆되긴 씨발년아 ㅋㅋㅋㅋㅋㅋㅋㅋ......,욕설 사용,직접적인 욕설('씨발년아') 포함됨,0.99
2대남 말고는 죄다 1찍이구만 씨발 ㅋㅋ,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18438452&page=2,양심도 없는 새기들이 이대남 패고 있네 씹버러지새기들이 ㅋㅋ 앞으로 국힘은 절대 안찍는다 ㅋ......,욕설 사용,"직접적인 욕설 포함됨 ('씨발', '새기', '씹버러지새기' 등)",0.99
한잔해. 그래도 역대 영부인중 와꾸 1황이잖아,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18438451&page=2,양산 국밥싸이는 토 나오고 성괴 쥴리도 역하고.. 와꾸는 이견없는 1황이다 경궁이이모 ㄹㅇ......,일반글,직접적인 욕설 없음,0.95
젓가락과 드럼통 카리나가 왜 금칙어인가요?,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18438450&page=2,무슨 연관이 있는것도 아닌데 왜그런거죠? 설마 어떤 싸이코같은사람이 젓가락을 음부에꽂는다거나 찢는다거나 그런건가요?......,일반글,직접적인 욕설 없음,1.00
이대남 씹새끼들은 뭘 자꾸 챙겨주란거냐?,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18438449&page=2,"이 씹새끼들은 20넘게 처먹었으니 같은 성인이니 어쩌구 센척하고 자빠질 땐 언제고 이제는 또 안챙겨줬다, 챙겨줘라 지랄이냐ㅋㅋㅋㅋㅋㅋㅋㅋ 군대도 가기싫다~ 군복무 줄여달라~ 월급을 많이 달라~ 취직을 시켜 달라~ 좆소는 가기 싫다~ 유학을 보내 달라~ 결혼을 시켜 달라~ 예기미 이 빙신새끼들ㅋㅋㅋㅋㅋㅋ 가오라도 쳐잡지 말던가ㅋㅋㅋㅋㅋㅋㅋ......",욕설 사용,"직접적인 욕설 포함됨 ('씹새끼', '좆', '빙신새끼', '예기미' 등)",1.00
이쯤되면 이준석도 좀 의미있는 수치아니냐 ㅋㅋ,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18438448&page=2,출구때처럼 합쳐도 재매이한테 안되는 수치면 진짜 한줌 모래였는데 까보니까 단일화했다면 해볼만한 수치가 나왔다는건 무시하긴 어려운 수준인거지 ㅋㅋㅋ 노란푸들같은게 진짜 한줌 이산화탄소 같은 놈이고......,일반글,직접적인 욕설 없음,0.95
굳은살 뗐는데 ㄱㅊ?,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18438447&page=2,너무 크고 딱딱해서 뗌 - dc official App......,일반글,직접적인 욕설 없음,1.00
두 사람중 누가 더 대단함?,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18438446&page=2,"6수 서울대의대, 자산 50억 보유, 조울증 군면제 (20대 5년 날림 + 정신병자 취급받음) VS 현역 가톨릭의대생 (군대 가야함, 돈 벌어야함)......",일반글,직접적인 욕설 없음,1.00
이재명 <ㅡ 이새끼 개병신 맞으면 개추 ㅋㅋㅋㅋㅋㅋ,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18438445&page=2,탄핵정국에 지지율 50퍼도 안되는새끼가 뭔 독재야 씨발아 ㅋㅋㅋㅋㅋㅋ......,욕설 사용,직접적인 욕설 포함됨 ('씨발' 사용),0.99
틀구이들 화내는거 보니 4찍 잘한거 같으면 개추,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18438444&page=2,눈물 콧물 다 빼는게 꼴보기좋노ㅋ - dc official App......,일반글,직접적인 욕설 없음,1.00
서울도 범보수가 절반이상인게 충격이네 ㅇㅇ,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18438443&page=2,ㄹㅇ 민주당에서 병신같은 후보내면 서울시장도 오세훈이 5선할듯......,욕설 사용,직접적인 욕설 포함됨,0.95
아니 지금 좆된건 이준석이 아니라 국민의힘이라니깐...,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18438441&page=2,"이를테면 이준석은 일종의 ""옥새""같은거임 2030을 들고있는 옥새. 이준석이 당대표 시절: 대선,지선,보궐,총선 다 이김 윤석열 대통령 만들때도 지금 데이터보면 결국 이준석이 만든거임 그리고 이준석 쫓아낸 후 김기현, 한동훈이 보궐,총선 다 쳐발리고 민주당에 190석 내준것도, 오늘 대선에서 쳐발린것도, 결국 딱 이준석 파이만큼 모자라서 지는거임 이준석이 ...",욕설 사용,직접적인 욕설 포함됨,0.99
위안부민국 미래 한짤 정리.....jpg,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18438440&page=2,갠적으로 노재팬으로 꿀빨아서 시즌2 기대중......,일반글,직접적인 욕설 없음,1.00
이재명이 아무리좆같이해도 윤두창보단 나음,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18438439&page=2,윤두창병신새끼......,욕설 사용,직접적인 욕설 포함됨 ('병신새끼' 사용),0.99
난 4찍한 새끼들 소신 ㅇㅈ함,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18438438&page=2,이새끼들 이재명되는거 각오하고 4찍한애들임 쫄보같이 사표심리발동되서 김문수찍은애들아 그렇게 찍어줘도 국힘은 2030 버릴걸야 두창이때 그렇게 당하고도 정신못차렸노......,분석 최종 실패,최대 재시도 도달,0.00
이준석이 단일화 안해서 졌다고 생각하는게 진짜 저능아인게,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18438437&page=2,이준석이 단일화 했을때 이준석표 3퍼만 이재명한테 갔어도 이재명 당선임......,일반글,직접적인 욕설 없음,1.00
아직도 단일화 무새짓 하는 저능아들은 양심이 있냐??,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18438435&page=2,이준석표가 다 김문수한테 간다쳐도 0.4%차이 승인데 씨발 말이 됨? ㅋㅋㅋㅋ 0.4%도 이탈 안나올거 같냐?? 양심 좀 챙겨라 틀딱들아 ㅇㅇ......,욕설 사용,직접적인 욕설 '씨발' 포함됨,0.99
30대 남자들 팩트)김문수보다 이재명 지지율이 더 높음,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18438434&page=2,이대남들은 표 갈렸어도 김문수 이준석중에 고민하지 30대들은 이재명 37퍼나 뽑았다는거임 이새끼들 밖에선 보수인척하는데 정작 투표는 이재명 뽑은 음흉한 새끼들임......,욕설 사용,직접적인 욕설 포함됨,0.95
나야 집2채 가지고있어서 상관없는데 2030이 불쌍하네,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18438433&page=2,유동성공급 들어가서 집값 폭등하면 경기에도 집마련하기 힘들듯 안타깝구만 끌끌 - dc official App......,일반글,직접적인 욕설 없음,1.00
스나이퍼좆<-- 이새끼 사라진거 ㅈㄴ 웃기면 개추,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18438432&page=2,감옥갔으려나 ㅋㅋㅋ?......,욕설 사용,직접적인 욕설 포함됨,0.95
이대남 << 계엄빔 맞고도 75%가 지지해주네,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18438431&page=2,솔직히 이건 억까인듯......,일반글,직접적인 욕설 없음,1.00
상납견들 애초에 이재명이 1호로 느그 준석이부터 찢어갈길건데,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18438430&page=2,뭐가 좋다고 실실대노 민주당에서 성접대의혹 꺼내오는중인데 이제 뭘로 막을거노?ㅋㅋㅋㅋㅋㅋㅋ......,일반글,직접적인 욕설 없음,1.00
이재명아들이 카리나 죽여도 틀문수 안찍는다고요,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18438428&page=2,카리나가 먼 내여친도아니고 먼상관임......,일반글,직접적인 욕설 없음,1.00
알빠노 정신 잊었냐?,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18438427&page=2,선거시즌이라고 잠시 애국자 모드로 돌아온거 같은데 다시 알빠노 모드 켜라. 같잖은 애국심 들때마다 나라가 뭘해줬나 곰곰이 생각해라. 차갑게 식는 자신을 발견할 수 있을거다.......,일반글,직접적인 욕설 없음,1.00
(속보) 제1호 드럼통행 발표,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18438426&page=2,과반 1% 실패의 원흉으로 권영국 씨가 지목되었습니다.......,일반글,직접적인 욕설 없음,1.00
넌 지금 중국이 어떤 상태인줄 알고 합치자고 하냐?,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18438425&page=2,"부동산 폭락하고 스테그플레이션와서 공장 다문닫고 실업자, 임금체불 4년제 대학나와도 취직할데가 없고 먹을거 살 돈도 없어서 노숙하고 거지들이 넘쳐나서 사람들 다 해외로 도망가고 있는데 뭔 중국이랑 합쳐?......",일반글,직접적인 욕설 없음,1.00
솔직히 2찍이들도 8%차이는 생각 안했잖아,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18438423&page=2,다들 10% 넘을 줄 알았던거 아님?......,일반글,직접적인 욕설 없음,1.00
개두창은 걍 이거짘ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18438421&page=2,원래 재앙이가 찢 저새끼만 막아봐라 해서 국짐에 입당한건데 갑자기 2년쯤 지나니 찢이랑 재앙이가 갑자기 화해를 해버린거임 그래서 재앙이가 사과선물로 대통령 먹게 해준다고 두창이 불러서 알아서 해봐라 하고 찢통령 코스 만들어준거 결국 이 모든게 재앙이의 원맨쇼였을뿐 ㅋㅋㅋㅋㅋㅋㅋㅋ......,욕설 사용,직접적인 욕설 포함됨,0.95
아빠 대통령되면 뭔 기분일까 ㅋㅋ,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18438422&page=2,동호햄 이제 막나가겠노 ㅋ......,일반글,직접적인 욕설 없음,1.00
근데 ㅅㅂ 이대남 보수비율 좆되는데,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18438420&page=2,뽑을만큼 뽑았구만 씹새들 욕심은......,욕설 사용,직접적인 욕설 포함됨 ('씹새들'),0.99
솔직히 이새끼들 존나게 역겨우면 개추...jpg,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18438419&page=2,내용 없음...,욕설 사용,"제목에 '새끼', '존나게' 등 직접적인 욕설 포함됨",0.95
