title,link,content_excerpt
이대남은 역사상최초로 여자한테 개같이 패배하는 세대,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439935&page=1,이대남 이대녀한테 정치도 지고 공부도 짐 로스쿨 이대 빼고도 여초된지 오래에 판사 검사 신규임용도 여초 남성호르몬 도핑 맞고 경쟁하는데도 중국게임 하다가 여자들한테 개같이 패배함 ㅋㅋㅋ...
우좀사이비새끼들 : 일단 지들이 믿는 건 무조건 옳다고 결론내고 증거를,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439934&page=1,- dc official App...
이준석이 범보수야? 그냥 네오나치 혐오주의자 아님?,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439933&page=1,- dc official App...
나 우리 아빠한테는 이재명 뽑았다고 구라침,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439932&page=1,아빠가 나랑 엄마랑 투표하고 오니까 너 김문수 뽑았냐고 존나 공격적으로 엄마랑 나한테 추궁하길래 사이비 신도 보는거 같아서 무서워서 이재명 뽑았다고 구라침...
과거로 돌아가서  이재명뽑기vs윤석열뽑기,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439931&page=1,내용 없음
권력은 잔인하게 써야 합니다,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439930&page=1,이재명 대통령 님이 어떻게 쓰실지 궁금하네 190 석 대한민국 역사상 최고의 권력을 누림...
어쨌건 너흰 페미니스트들에게 또 진거야ㅋㅋㅋㅋ,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439929&page=1,너희 이대남이 옳다고? 6070 틀딱들이 옳다고? 아니? 두 집단 모두 개병신 엠창년들임ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 느그들은 페미니스트들에게 다시 한번 패배했다ㅋㅋㅋㅋㅋㅋ 비동의 강간죄 드가자~~~...
이재명이 다른 나라 정상들하고,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439928&page=1,같이 회담하는 그림이 잘 안 그려짐 특히 트럼프하고 만나서 악수하고 회담하는 게 어색하게 상상이 됨...
계엄이후 정치유입됐는데 윤어게인이 맞냐 시발,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439927&page=1,"아니 계엄한 이유는 알겠는데, 그렇다고 계엄을 하면 그게 맞냐고.. 결국 이재명이 최대수혜자로 대통령 되어버렸는데 보수라는 놈들이 윤어게인 ㅇㅈㄹ하는 거 이거 맞는거냐..? 대가리아프다 정말..."
"이준석,한동훈,홍준표 좆도 아닌 새끼들",https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439926&page=1,민좆빨갱이들이 빨아주는건 다 이유가 있는거야...
국힘 당명 변경 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439925&page=1,내용 없음
그래서 재명이는 언제 계엄때리냐,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439924&page=1,본문 내용을 찾을 수 없습니다.
어제 행복하게 투표소로 들어가는 신혼부부보고ㅋㅋㅋㅋ,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439923&page=1,2찍할려다 그거보고 1찍했는데 굿굿 ㅋㅋㅋ 니들만 행복할수없지 중국어나배워놔야지...
틀구이가 죽으면 보수는 부활하는거다,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439922&page=1,죽어라 그러면 산다...
이대남들은 꼭 욕을 쳐먹으면,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439920&page=1,다 스윗영포티 어쩌고 하면서 ㅈ86 40 50대 인줄 알더라? 30대도 이대남이라면 절레절레한다.....
국힘은 이제 미래자체가 없음ㅋㅋ,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439919&page=1,본문 내용을 찾을 수 없습니다.
난 17홍카 22윤카 25기가문수 찍었는데 국찜은 집토끼부터 잡아야지,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439918&page=1,본문 내용을 찾을 수 없습니다.
찢정권 정치떡밥 공격에 신날 야갤러는 개추ㅋㅋ,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439917&page=1,본문 내용을 찾을 수 없습니다.
투표율 보니깐 이준석표 다 문수한테 가도 졌을것 같네,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439916&page=1,본문 내용을 찾을 수 없습니다.
잘 모르는데 이거 키스마크냐,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439915&page=1,본문 내용을 찾을 수 없습니다.
이대남이 ㅈ으로보이노,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439914&page=1,본문 내용을 찾을 수 없습니다.
20대 여자 35% 범보수권 지지 생각보다 높네,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439913&page=1,본문 내용을 찾을 수 없습니다.
나도 이대남들 너무 싫음,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439912&page=1,본문 내용을 찾을 수 없습니다.
현재 4찍들 상황 ㄹㅇ..,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439911&page=1,본문 내용을 찾을 수 없습니다.
지금 좆된건 이준석이 아니라 국민의힘이라니깐...,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439910&page=1,본문 내용을 찾을 수 없습니다.
뭐? 단일화했으면 이겼다고? 내 탓이라고?,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439909&page=1,본문 내용을 찾을 수 없습니다.
2030이 우파성향 이어도 쓸모없는 이유,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439908&page=1,본문 내용을 찾을 수 없습니다.
민주당 장기 집권이 개소리가 아닌이유 ㅋㅋㅋ,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439907&page=1,본문 내용을 찾을 수 없습니다.
집권여당 + 190석이면 무적 아니냐,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439906&page=1,본문 내용을 찾을 수 없습니다.
이준석. 복수에 성공 jpg,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439905&page=1,본문 내용을 찾을 수 없습니다.
팩트체크) 이준석이 단일화를 안해줘서 국힘이 졌다?,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439904&page=1,https://m.dcinside.com/board/baseball_new11/18439253 가서 틀니 좆같으면 념글가게 댓글 부탁 대선 팩트체크) 정말 이준석이 단일화 안해서 국힘이 진걸까?? - 국내야구 갤러리 안녕 야갤럼들아 팩트만 체크해주는 팩트체크 형이야오늘은 일부 국힘 지지자들이 주장하는“이준석이 단일화 안해서 국힘이 진거다!” 라는 주장에 대...
틀구이들 레전드긴 하네,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439902&page=1,결과 승복도 못하고 중도층인 이대남 적대하고 그냥 저지능망상병 환자인데?...
국힘=걍 뭔짓을 해도 틀딱당 이미지임,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439901&page=1,권성동 와꾸만 봐도 토나오잖아? 이걸로 말 다했음...
이대남이 한줌이긴하네,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439900&page=1,그냥 뒤져라 세상에 아무런 영향력 없는 좆밥새끼들...
이제 윤석열도 노무현 따라가는 거냐,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439899&page=1,그 방법밖에 없지 않을까...
이준석 출구조사나오자마자 보수재건 아가리터는건 WWE 인증이노,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439898&page=1,ㅋㅋ...
지난대선에서 딱 이준석표뺀차이로 졌네.jpg,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439897&page=1,진짜 ㅈㄴ웃기노 ㅋㅋㅋ...
부정선거가 의심되는 이유 : 부정선거가 있다고 확신하고 증거를 찾으니까,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439895&page=1,- dc official App...
윤석열: 이기고오겠다 시발 ㅋㅋㅋㅋㅋㅋㅋ,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439894&page=2,- dc official App...
이 시대 스윗남,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439893&page=2,"""윤 두 창"" - dc official App..."
4050 씹새들 찢아들 따라서 요도팔 생각에 싱글벙글,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439892&page=2,ㅋㅋㅋㅋㅋㅋㅋ...
틀구이 승률 0퍼 ㅋㅋㅋㅋㅋㅋㅋㅋ,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439891&page=2,ㅋㅋㅋㅋㅋㅋ...
몇 달 후 국민의힘 .jpg,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439890&page=2,내용 없음
걍 이 짤보니까 오히려 맘이편해짐,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439889&page=2,2030405060 가지각색으로 병신같은 “망할만해서 망하는구나”...
아니 2찍들아 찢재명 당선된거,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439888&page=2,느그 대석열 때문이라니까? 이대남 때문 아니라고ㅋㅋㅋㅋㅋ...
아무튼 찢강점기 잘버텨봐 ~,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439887&page=2,본문 내용을 찾을 수 없습니다.
이 나라는 독재자 2명 없었으면 북한임 그냥 ㅋㅋ,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439886&page=2,그게 딱 나라 수준임...
준스톤은 정치를 좀 대국적으로 해야됨 ㅋㅋㅋ,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439883&page=2,이재명도 친문들이랑 존나 사이좋아서 정치생활 내내 좆비비면서 살아온게 아닌데 ㅋㅋ...
울산 배신감 좆되네 ㄹㅇ..,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439884&page=2,부산이랑 울산이 압도적으로 이겼음 몰랐다.. ㅇㅇ 나 해운대 센텀에 사는데 당연히 김문수 찍음 ㅋㅋ...
이대남은 앞으로도 백전 백패 ㅋㅋㅋㅋ,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439882&page=2,영포티+이대녀+삼대녀 밑에서 패배한 마케이누 세대로 영원히 노예 생활 6070이랑 갈라섰고 10대도 어짜피 남녀 반반이라 영포티를 이길수 없음...
이대남삼대남 사람취급만 해줬어도 국힘20 민주70이었을듯 ㅋㅋ,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439881&page=2,문재인 대단하다! - dc official App...
조국 광복절특사로 나오겠네,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439880&page=2,본문 내용을 찾을 수 없습니다.
대체로 4찍은 젊은 편임,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439879&page=2,본문 내용을 찾을 수 없습니다.
틀힘당 존나 웃긴게,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439878&page=2,본문 내용을 찾을 수 없습니다.
4050이 민주당 지지하는건 본인 득실과 관계없음,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439877&page=2,본문 내용을 찾을 수 없습니다.
걍 진짜 병1신은 딱하나,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439876&page=2,본문 내용을 찾을 수 없습니다.
2찍 if도르 좆지리네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439875&page=2,본문 내용을 찾을 수 없습니다.
"이대남들아, 4050한테 복수하는법 알려준다ㅋㅋㅋㅋ",https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439874&page=2,본문 내용을 찾을 수 없습니다.
이재명 53 김문수 33 이준석 13 원했던 페미들은 개추 ㅋㅋ,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439873&page=2,본문 내용을 찾을 수 없습니다.
22년도엔 여성부폐지 공약 /25년도엔 여성부확대개편,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439872&page=2,본문 내용을 찾을 수 없습니다.
솔직히 문수햄은 잘못없으면 개추ㅋㅋ,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439871&page=2,본문 내용을 찾을 수 없습니다.
윤두창 찍어줘서 나온 결과가,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439870&page=2,본문 내용을 찾을 수 없습니다.
국힘 세대교체 완료?? 수고하셨습니다???ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439869&page=2,본문 내용을 찾을 수 없습니다.
이나라는 정작 이승만이 건국하고 박정희랑 전두환이 다져놓은 기반에서,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439868&page=2,본문 내용을 찾을 수 없습니다.
투표 차가 280ㅋㅋㅋㅋ,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439867&page=2,본문 내용을 찾을 수 없습니다.
가장 충격적인점,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439864&page=2,본문 내용을 찾을 수 없습니다.
이제 지금 애새기들 다 우파로 키워지겠노 ㅋㅋ,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439863&page=2,본문 내용을 찾을 수 없습니다.
"백신부작용, 부정선거, 휴거 다 없는거야 저능아새끼들아",https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439861&page=2,본문 내용을 찾을 수 없습니다.
"윤석열 사형, 김건희 사형, 이준석 구속",https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439860&page=2,본문 내용을 찾을 수 없습니다.
이준석한테 전광훈 김문수가 흡수되는게 맞지,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439859&page=2,본문 내용을 찾을 수 없습니다.
2찍들 진짜 좀 모자라긴하노,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439858&page=2,본문 내용을 찾을 수 없습니다.
윤석열이 이대남 통수안치고 국짐에서 이준석 내쫓지만않았어도 되는거아님?,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439857&page=2,본문 내용을 찾을 수 없습니다.
윤통이 오히려 2대남들 갈라치기 씹창내놓음.,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439856&page=2,본문 내용을 찾을 수 없습니다.
내란당이 이준석 임금개혁만 따라했어도 5퍼는 더먹었겠다 ㅋㅋ,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439855&page=2,본문 내용을 찾을 수 없습니다.
페미가 선거 이겨도 새벽까지 지랄하는건 처음임 ㅇㅇ..,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439854&page=2,본문 내용을 찾을 수 없습니다.
우리 이제 야짤 못달리는거지?,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439853&page=2,본문 내용을 찾을 수 없습니다.
농사지으러 가야겠노,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439852&page=2,본문 내용을 찾을 수 없습니다.
좆대남 = 쉬었음하면서 4050 용돈 배급받음 ㅇㅇ,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439851&page=2,본문 내용을 찾을 수 없습니다.
이대남 <<<< “즉각반응형 인간”,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439850&page=2,본문 내용을 찾을 수 없습니다.
영포티 틀딱들은 아무 손해도 없음 ㅋㅋㅋㅋㅋ,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439849&page=2,본문 내용을 찾을 수 없습니다.
1찍 이대남만 개추,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439848&page=2,본문 내용을 찾을 수 없습니다.
"전국 표차이 280만,   전라도 표차이 260만  ㅋㅋㅋㅋ",https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439847&page=2,본문 내용을 찾을 수 없습니다.
준석견들이 모르는것.jyp,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439846&page=2,본문 내용을 찾을 수 없습니다.
이재명이 친중이란 빡대가리들을 위해 설명해줌,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439844&page=2,본문 내용을 찾을 수 없습니다.
여성부폐지 구라쳐서 대통령됐으면 니들도 통수맞아봐야지ㅋㅋ,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439843&page=2,본문 내용을 찾을 수 없습니다.
이대남들아 니들 가스라이팅 당한거야,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439842&page=2,본문 내용을 찾을 수 없습니다.
홍준표좀 빨지마라,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439841&page=2,본문 내용을 찾을 수 없습니다.
국민의힘은 사실상 해체 수순 아님?,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439839&page=2,본문 내용을 찾을 수 없습니다.
국민의힘은 사실상 해체 수순 아님?,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439839&page=3,본문 내용을 찾을 수 없습니다.
이대녀삼대녀 영포티 연합 승리후 이제 배당받을차례,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439838&page=3,본문 내용을 찾을 수 없습니다.
계엄으로 야당 민주당 잡는거자체가 일당독재체제하겠다는거다,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439837&page=3,본문 내용을 찾을 수 없습니다.
2찍이고 4찍이고 다 숙청 들어가야지,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439836&page=3,본문 내용을 찾을 수 없습니다.
응 씨발 문재앙도 버텼어 ㅋㅋㅋ 그래서 니들이 뭘할수있는데?,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439834&page=3,본문 내용을 찾을 수 없습니다.
나 이대남 인데 요즘 이대남들 보면,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439835&page=3,본문 내용을 찾을 수 없습니다.
문수 말고 다른 사람 나왔으면 압승했을듯,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439833&page=3,본문 내용을 찾을 수 없습니다.
황재명 역대최다 득표 달성,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439832&page=3,본문 내용을 찾을 수 없습니다.
지금 시간부로 야갤을 패쇄조치하겠습니다,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439831&page=3,본문 내용을 찾을 수 없습니다.
서울 개표 결과 ㄷㄷㄷ,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439830&page=3,본문 내용을 찾을 수 없습니다.
야갤 6070갤이었노 ㅋㅌㅌ,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439829&page=3,본문 내용을 찾을 수 없습니다.
2대남들이 1찍하는건 딴거 없는듯,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439828&page=3,본문 내용을 찾을 수 없습니다.
국힘은 그냥 작은 북한임,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439827&page=3,본문 내용을 찾을 수 없습니다.
이 아이 이준석 닮았으믄 개추 아니면 반대비추 ㅋㅋㅋㅎㅋ,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439826&page=3,본문 내용을 찾을 수 없습니다.
틀구이들 이재명 표심으로 까지도 못해서 홧병으로 사망 중ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439825&page=3,본문 내용을 찾을 수 없습니다.
목소리 낼거면 적어도 10%는 넘기든가,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439824&page=3,본문 내용을 찾을 수 없습니다.
두창이가 이대남 통수 거하게 치긴했어,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439823&page=3,본문 내용을 찾을 수 없습니다.
이거 요거거 각자가 뭐라고 카는지 맞추면 상품준다아,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439822&page=3,본문 내용을 찾을 수 없습니다.
대선할때 북한새끼들 쥐죽은듯있는거 ㄹㅇ ㅈ패고싶노,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439821&page=3,본문 내용을 찾을 수 없습니다.
난 좆대남들이 4050 개꿀세대라하는걸 이해못하겠음,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439820&page=3,본문 내용을 찾을 수 없습니다.
이대남들이 5060세대 배급견이라고 욕하는건 용납이 안가네?,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439819&page=3,본문 내용을 찾을 수 없습니다.
윤석열 이제 어떻게되냐,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439818&page=3,본문 내용을 찾을 수 없습니다.
이대남들은 이 상황에도 국힘을 패고 있노ㅋㅋㅋㅋ,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439817&page=3,본문 내용을 찾을 수 없습니다.
4050이 병1신인건,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439816&page=3,본문 내용을 찾을 수 없습니다.
이준석 보수재건 아가리 터는거보면 국힘들어가노 ㅋㅋ,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439815&page=3,본문 내용을 찾을 수 없습니다.
2찍 < 이새끼들만 기었으면 이재명 막았음,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439814&page=3,본문 내용을 찾을 수 없습니다.
그래그래 이대남들아,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439813&page=3,본문 내용을 찾을 수 없습니다.
이제 음주운전 연예인 다 특별사면임?,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439812&page=3,본문 내용을 찾을 수 없습니다.
내가 찼지만 개새끼는 너랑께~,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439811&page=3,본문 내용을 찾을 수 없습니다.
투표범죄 쟤는 1찍이임?,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439810&page=3,본문 내용을 찾을 수 없습니다.
이시각 전한길...,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439809&page=3,본문 내용을 찾을 수 없습니다.
결국 국민은 내란을 심판했다 !!!!!!!!!!!!!!!!!!!!!!!!,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439808&page=3,본문 내용을 찾을 수 없습니다.
내년 지방선거때 힘내보자 아자아자,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439807&page=3,본문 내용을 찾을 수 없습니다.
국힘 지지자인 내 기준에 선방임,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439806&page=3,본문 내용을 찾을 수 없습니다.
2찍들이 화가 많이 났네... 아직도 독을 뿜노,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439804&page=3,본문 내용을 찾을 수 없습니다.
"백신부작용, 부정선거 믿는 새끼들은 그냥 조현병 환자라고 보면 됨.",https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439803&page=3,본문 내용을 찾을 수 없습니다.
국힘이 말하는 이대남 정책,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439802&page=3,본문 내용을 찾을 수 없습니다.
팩트체크) 이준석이 단일화를 안해줘서 국힘이 졌다?,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439801&page=3,본문 내용을 찾을 수 없습니다.
틀구이들 끝까지 물타기하네 애초에 범진보표>범보수표인데 ㅋ,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439800&page=3,본문 내용을 찾을 수 없습니다.
틀딱들이 뭘 착각하는데 이대남은 누가 뽑히든 좆도 알빠 아님,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439799&page=3,본문 내용을 찾을 수 없습니다.
얘네 인생 망한거같은데ㅋㅋ,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439798&page=3,본문 내용을 찾을 수 없습니다.
라인할 야순이 있나,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439797&page=3,본문 내용을 찾을 수 없습니다.
이대남 = 다른 세대들이 본인들 피 빨아먹는다고 주장중..,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439796&page=3,본문 내용을 찾을 수 없습니다.
이대남은 투표도안하는데 당연한 권리도 박탈해야함,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439795&page=3,본문 내용을 찾을 수 없습니다.
이재명 53 김문수 33 이준석 13 원했던 페미들은 개추 ㅋㅋ,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439794&page=3,본문 내용을 찾을 수 없습니다.
이준석 정치생명 끝이네,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439793&page=3,본문 내용을 찾을 수 없습니다.
원래 이재명이 일은 ㅈㄴ 열심히함,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439792&page=3,본문 내용을 찾을 수 없습니다.
막말로 이대녀도 이대남보단 살기 좀더 나을뿐 나라미래,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439791&page=3,본문 내용을 찾을 수 없습니다.
근데 표보면 단일화해도 근소하게 졌을듯,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439790&page=3,본문 내용을 찾을 수 없습니다.
이대남들은 순수하게 자기 밥줄 찾아간거임 ㅋㅋㅋ,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439789&page=3,본문 내용을 찾을 수 없습니다.
2찍이 챙겨준거ㅋㅋ,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439787&page=4,본문 내용을 찾을 수 없습니다.
국힘은 윤석열이 다시 나왔어도 40%임,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439786&page=4,본문 내용을 찾을 수 없습니다.
